2014-01-17 08:55:12 Notice: Notice (8): Undefined variable: val in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 167]
2014-01-17 09:42:20 Notice: Notice (8): Undefined variable: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 18]
2014-01-17 09:43:34 Notice: Notice (8): Undefined variable: service_code in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 328]
2014-01-17 09:43:56 Notice: Notice (8): Undefined property: IssuesController::$service_code in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 328]
2014-01-17 10:58:42 Notice: Notice (8): Undefined index: issue_detail in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-17 10:58:42 Notice: Notice (8): Undefined property: IssuesController::$DatetimeSelect in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 351]
2014-01-17 11:00:05 Notice: Notice (8): Undefined index: issue_details in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-17 11:00:05 Notice: Notice (8): Undefined property: IssuesController::$DatetimeSelect in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 351]
2014-01-17 11:01:45 Notice: Notice (8): Undefined property: IssuesController::$DatetimeSelect in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 351]
2014-01-17 11:03:21 Notice: Notice (8): Undefined index: assignee in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 366]
2014-01-17 11:03:21 Notice: Notice (8): Undefined index: ids in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/cake/libs/model/model.php, line 1329]
2014-01-17 11:06:33 Notice: Notice (8): Undefined index: assignee in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 367]
2014-01-17 11:09:53 Notice: Notice (8): Undefined index: ids in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/cake/libs/model/model.php, line 1329]
2014-01-21 08:56:09 Notice: Notice (8): Undefined property: IssuesController::$targetController in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 319]
2014-01-21 08:56:09 Notice: Notice (8): Undefined index:  in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 319]
2014-01-21 08:58:25 Notice: Notice (8): Undefined property: IssuesController::$targetController in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 337]
2014-01-21 08:58:25 Notice: Notice (8): Undefined index:  in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 337]
2014-01-21 09:11:06 Notice: Notice (8): Undefined index: issue_tantousha in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 417]
2014-01-21 09:17:43 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-21 09:21:24 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-21 10:10:10 Notice: Notice (8): Undefined variable: value in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 49]
2014-01-21 10:21:13 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-21 10:33:09 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-21 10:33:12 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-21 10:33:17 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-21 10:43:53 Notice: Notice (8): Undefined variable: value in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 94]
2014-01-21 10:44:03 Notice: Notice (8): Undefined variable: value in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 94]
2014-01-22 09:45:36 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 334]
2014-01-22 11:22:20 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 340]
2014-01-22 11:42:38 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 341]
2014-01-22 11:47:14 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 342]
2014-01-22 11:47:35 Notice: Notice (8): Undefined index: id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 342]
2014-01-22 20:23:56 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:24:49 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:25:31 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:26:15 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:27:48 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:28:06 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:28:34 Notice: Notice (8): Undefined variable: issue_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 165]
2014-01-22 20:46:48 Notice: Notice (8): Undefined index: issues_detail in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 380]
2014-01-22 20:46:48 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 466]
2014-01-22 20:48:07 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 466]
